Observation,Sol,NoParenSol,Target_Name,Silicon_Oxide(SiO2),RMSE_Silicon_Oxide,Silicon_Oxide_StDEV,Titanium_Oxide(TiO2),RMSE_Titanium_Oxide,Titanium_Oxide_StDEV,Aluminum_Oxide(AI2O3),RMSE_Aluminum_Oxide,Aluminum_Oxide_StDEV,Iron_Oxides_Total(FeOT),RMSE_Iron_Oxide_Total,Iron_Oxide_Total_StDEV,Magnesium_Oxide(MgO),RMSE_Magnesium_Oxide,Magnesium_Oxide_StDEV,Calcium_Oxide(CaO),RMSE_Calcium_Oxide,Calcium_Oxide_StDEV,Sodium_Oxide(Na2O),RMSE_Sodium_Oxide,Sodium_Oxide_StDEV,Potassium_Oxide(K2O),RMSE_Potassium_Oxide,Potassium_Oxide_StDEV,Sum_of_Oxides,Distance_Rover_m,Spectrum_Total
CL5_426252994CCS_F0060804CCAM01324P3.CSV,324,324,Howells,57.2,5.2,1.3,0.96,0.49,0.08,17.6,3.7,1,15.5,3.5,1.3,3.1,1.7,1,2.4,1.1,0.4,5.28,0.94,0.53,2.2,1.18,0.39,104.34,2.28773,1.19E+14
CL5_426253060CCS_F0060804CCAM01324P3.CSV,324,324,Howells,41.8,5.3,1.6,2.2,0.81,0.12,10.2,3.5,0.5,25.9,4.7,1.4,3.3,1.7,0.1,2.6,1.1,0.7,3.24,0.64,0.18,1.32,1,0.19,90.53,2.28773,3.18E+14
CL5_426436412CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,44.8,5,1.2,1.83,0.71,0.14,8.6,3.5,0.6,21.1,4.4,0.6,8.8,2.4,0.5,4.2,1.5,0.4,3,0.62,0.11,1.86,1.15,0.14,94.18,3.74034,1.04E+15
CL5_426436482CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,44.6,5,0.6,1.52,0.62,0.11,7.6,3.4,0.3,21.4,4.4,0.4,11.8,2.9,0.5,3.6,1.3,0.4,2.53,0.61,0.06,1.57,1.08,0.14,94.71,3.74034,1.18E+15
CL5_426436545CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,47.1,5,0.9,1.31,0.57,0.12,9.1,3.5,0.5,20.8,4.3,0.2,12,2.9,0.8,3.6,1.3,0.8,2.53,0.61,0.12,1.73,1.12,0.16,98.18,3.74034,9.26E+14
CL5_426436609CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,44.1,5.1,0.6,2.26,0.84,0.37,8.7,3.5,0.3,22.2,4.5,0.8,8.8,2.4,0.5,3.7,1.3,0.8,2.36,0.61,0.07,1.4,1.03,0.1,93.52,3.74034,1.09E+15
CL5_426436673CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,45.6,5,0.6,1.85,0.71,0.16,9.5,3.5,0.6,21,4.4,0.3,7.8,2.2,0.7,4.2,1.5,0.8,2.61,0.61,0.16,1.87,1.15,0.19,94.52,3.74034,1.03E+15
CL5_426436948CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,44.1,5.1,1.6,2.01,0.76,0.3,8.2,3.4,0.8,21.3,4.4,0.6,9.5,2.5,0.5,4.6,1.6,0.6,2.31,0.61,0.18,1.48,1.05,0.3,93.5,3.73101,1.12E+15
CL5_426437114CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,43.1,5.1,0.5,1.88,0.72,0.14,7.4,3.4,0.2,22.3,4.5,0.7,8.4,2.3,1,3.8,1.4,0.4,2.29,0.62,0.06,1.58,1.08,0.15,90.88,3.73101,1.27E+15
CL5_426437178CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,45.6,5,0.4,1.75,0.69,0.08,8.7,3.5,0.4,20.3,4.3,0.2,11,2.8,0.4,3.2,1.2,0.3,2.31,0.61,0.1,1.52,1.07,0.18,94.47,3.73101,1.15E+15
CL5_426437242CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,45.7,5,0.9,1.84,0.71,0.12,8.3,3.4,0.4,20.7,4.3,0.3,9.5,2.5,0.4,4.6,1.6,0.7,2.34,0.61,0.11,1.48,1.05,0.18,94.43,3.73101,1.19E+15
CL5_426437306CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,46.1,5,0.4,1.79,0.7,0.1,8.8,3.5,0.4,21,4.4,0.2,9.4,2.5,0.5,4.1,1.4,0.3,2.69,0.61,0.11,1.84,1.14,0.1,95.75,3.73101,1.15E+15
CL5_426437432CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,43.1,5.1,0.8,1.57,0.64,0.07,7.6,3.4,0.2,21.2,4.4,0.3,11.3,2.8,0.3,4.5,1.6,0.4,2.18,0.62,0.07,1.31,0.99,0.16,92.8,3.73234,1.13E+15
CL5_426437598CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,47.5,4.9,0.6,1.44,0.6,0.08,9.1,3.5,0.5,20.8,4.3,0.1,10.3,2.7,0.6,4.5,1.6,0.7,2.51,0.61,0.12,1.78,1.13,0.22,97.98,3.73234,1.14E+15
CL5_426437662CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,43.1,5.1,0.9,1.72,0.68,0.14,7.6,3.4,0.3,21.6,4.4,0.8,10.7,2.7,0.7,4.1,1.4,0.3,2.17,0.62,0.08,1.3,0.99,0.18,92.28,3.73234,1.32E+15
CL5_426437874CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,45.2,5,0.5,1.74,0.68,0.18,8.8,3.5,0.3,21,4.4,0.3,9.9,2.6,0.6,4.1,1.4,0.5,2.43,0.61,0.07,1.61,1.09,0.12,94.75,3.74435,1.12E+15
CL5_426437939CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,44,5.1,0.7,1.75,0.69,0.16,9,3.5,0.3,21.6,4.4,0.5,8.5,2.3,0.7,4.5,1.6,0.6,2.33,0.61,0.08,1.61,1.09,0.16,93.3,3.74435,1.25E+15
CL5_426438065CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,42.7,5.2,0.6,2.22,0.82,0.15,8.4,3.4,0.3,21.6,4.4,0.5,9.3,2.5,0.6,3.2,1.2,0.3,2.54,0.61,0.08,1.68,1.11,0.11,91.68,3.74435,1.05E+15
CL5_426438232CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,44.9,5,0.8,1.67,0.66,0.08,8.5,3.4,0.5,21.5,4.4,0.3,9.5,2.5,0.4,4.2,1.5,0.6,2.37,0.61,0.12,1.65,1.1,0.14,94.23,3.74435,1.13E+15
CL5_426438296CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,41.2,5.3,0.7,1.73,0.68,0.06,7.4,3.4,0.4,23.6,4.6,0.5,8.6,2.4,0.4,4.7,1.6,0.4,2.35,0.61,0.09,1.17,0.94,0.14,90.76,3.74435,1.19E+15
CL5_426438360CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,45.1,5,0.9,1.58,0.64,0.11,7.9,3.4,0.6,21.1,4.4,0.2,10.4,2.7,0.5,4.5,1.6,0.3,2.39,0.61,0.14,1.62,1.09,0.18,94.62,3.74435,1.10E+15
CL5_426438424CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,44.3,5,0.9,1.58,0.64,0.05,7.8,3.4,0.2,21.3,4.4,0.3,9.4,2.5,0.4,5.6,1.9,0.3,2.29,0.62,0.1,1.33,1,0.15,93.59,3.74435,1.09E+15
CL5_426438551CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,45,5,0.9,1.62,0.65,0.09,8.2,3.4,0.4,21.1,4.4,0.2,10.8,2.7,0.5,3.9,1.4,0.4,2.45,0.61,0.1,1.62,1.09,0.15,94.78,3.74435,1.02E+15
CL5_426438762CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,45.8,5,0.6,1.22,0.54,0.05,7.6,3.4,0.4,20.7,4.3,0.1,11.7,2.9,0.7,4.9,1.7,0.5,2.56,0.61,0.09,1.53,1.07,0.1,96,3.735,1.05E+15
CL5_426438827CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,46.4,5,0.7,1.58,0.64,0.09,8.4,3.4,0.4,20.7,4.3,0.2,10.1,2.6,0.3,4.8,1.6,0.8,2.51,0.61,0.09,1.56,1.08,0.15,96.09,3.735,1.11E+15
CL5_426438891CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,47.1,5,1.3,1.68,0.67,0.11,9.2,3.5,1.1,20.5,4.3,0.1,9.7,2.5,0.4,4.4,1.5,0.9,2.43,0.61,0.27,1.45,1.04,0.34,96.35,3.735,1.25E+15
CL5_426438955CCS_F0070000CCAM01326P3.CSV,326,326,Chantrey,46.4,5,0.7,1.31,0.57,0.09,7.7,3.4,0.4,20.7,4.3,0.2,13.2,3.1,0.4,4,1.4,0.3,2.41,0.61,0.12,1.45,1.04,0.19,97.05,3.735,1.16E+15
CL5_426439397CCS_F0070000CCAM02326P3.CSV,326,326,Cunningham,48.7,4.9,1,1.23,0.55,0.07,9.8,3.5,0.5,19.3,4.1,0.3,4.9,1.8,0.1,4.4,1.5,0.4,3.28,0.64,0.12,1.27,0.98,0.15,92.88,3.14547,9.47E+14
CL5_426439466CCS_F0070000CCAM02326P3.CSV,326,326,Cunningham,49.4,5,1.3,1.04,0.5,0.09,10.5,3.5,1.2,19.7,4.2,0.4,4.8,1.8,0.4,6.8,2.2,1.3,3.04,0.62,0.49,0.97,0.85,0.23,96.23,3.14547,5.58E+14
CL5_426439530CCS_F0070000CCAM02326P3.CSV,326,326,Cunningham,47,5,1.3,1.31,0.57,0.11,9.1,3.5,0.4,20.4,4.3,0.4,4.9,1.8,0.4,5.8,1.9,0.7,3.01,0.62,0.2,1.09,0.91,0.12,92.45,3.14547,7.55E+14
CL5_426439656CCS_F0070000CCAM02326P3.CSV,326,326,Cunningham,49.4,5,1.1,1.4,0.59,0.11,10.6,3.5,0.5,20,4.2,0.5,4.8,1.8,0.2,4.3,1.5,0.5,3.43,0.65,0.19,1.28,0.98,0.11,95.22,3.14547,8.80E+14
