frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,sclk,sol
ROVER,5,1858,-1,0.245,451.996,19.96,-272039.023,8147263.219,-4.589462863,-4.643733867,137.4492584,-4521,2100.09,24900.88,525.95,6225.73,-2.572,3.848,-145.347,409306669,133
ROVER,5,1902,-1,-2.279,450.619,19.83,-272041.547,8147261.842,-4.589505444,-4.643776948,137.4492352,-4520.87,2110.19,24895.37,528.47,6224.35,-2.428,3.141,-156.854,410543104,147
ROVER,5,1916,-1,-2.896,450.351,19.75,-272042.164,8147261.574,-4.589515854,-4.643787479,137.4492307,-4520.79,2112.66,24894.3,529.09,6224.08,-3.766,6.305,-155.69,410902209,151
ROVER,5,1954,-1,-5.019,449.879,19.64,-272044.287,8147261.102,-4.58955167,-4.643823715,137.4492227,-4520.68,2121.15,24892.41,531.21,6223.61,-6.328,7.475,-159.292,410988411,152
ROVER,5,1986,-1,-4.002,450.798,19.85,-272043.27,8147262.021,-4.589534512,-4.643806356,137.4492382,-4520.89,2117.08,24896.08,530.19,6224.53,-2.837,7.486,-136.245,411614509,159
ROVER,5,2022,-1,-1.759,449.58,19.68,-272041.027,8147260.803,-4.589496672,-4.643768072,137.4492177,-4520.72,2108.11,24891.21,527.95,6223.31,-4.207,1.305,152.027,411874269,162
ROVER,5,2028,-1,-0.779,449.058,19.75,-272040.047,8147260.281,-4.589480139,-4.643751345,137.4492089,-4520.79,2104.19,24889.12,526.97,6222.79,-4.39,0.437,152.131,411874372,162
ROVER,5,2094,-1,-0.025,447.648,19.66,-272039.293,8147258.871,-4.589467418,-4.643738475,137.4491851,-4520.7,2101.17,24883.48,526.22,6221.38,-3.594,4.798,-160.109,411875011,162
ROVER,5,2182,-1,0.961,445.015,19.52,-272038.307,8147256.238,-4.589450784,-4.643721646,137.4491407,-4520.56,2097.23,24872.95,525.23,6218.75,-0.589,5.281,-139.62,411876469,162
ROVER,5,2200,-1,-0.535,443.832,19.35,-272039.803,8147255.055,-4.589476022,-4.64374718,137.4491207,-4520.39,2103.21,24868.22,526.73,6217.56,-1.747,6.259,-138.265,411960324,163
ROVER,5,2232,-1,0.95,445.25,19.53,-272038.318,8147256.473,-4.589450969,-4.643721834,137.4491446,-4520.57,2097.27,24873.89,525.24,6218.98,-0.675,4.757,-139.127,412053451,164
ROVER,5,2270,-1,0,444.748,19.41,-272039.268,8147255.971,-4.589466996,-4.643738049,137.4491362,-4520.45,2101.07,24871.88,526.19,6218.48,-1.011,5.598,-159.212,412053892,164
SITE,6,-1,-1,-1.06,444.357,19.4,-272040.328,8147255.58,-4.589484879,-4.643756141,137.4491296,-4520.44,2105.31,24870.32,527.25,6218.09,0,0,0,412233503,166
ROVER,6,0,14,-1.06,444.357,19.4,-272040.328,8147255.58,-4.589484879,-4.643756141,137.4491296,-4520.44,2105.31,24870.32,527.25,6218.09,-4.113,3.003,165.72,412233503,166
ROVER,6,68,-1,0,443.582,19.29,-272039.268,8147254.805,-4.589466996,-4.643738049,137.4491165,-4520.33,2101.07,24867.22,526.19,6217.31,-4.082,2.384,-161.316,421639967,272
ROVER,6,82,-1,-0.691,443.347,19.22,-272039.959,8147254.57,-4.589478654,-4.643749843,137.4491125,-4520.26,2103.84,24866.28,526.88,6217.08,-3.687,2.716,-159.926,421819694,274
ROVER,6,116,-1,-2.043,443.32,19.21,-272041.311,8147254.543,-4.589501463,-4.643772919,137.4491121,-4520.25,2109.24,24866.17,528.24,6217.05,-0.64,-4.237,40.929,423681824,295
